estado,anio,mes,mes_num,sexo,homicidios_total
Aguascalientes,2021,Abril,4,Mujer,2
Aguascalientes,2021,Mayo,5,Hombre,8
Aguascalientes,2021,Junio,6,Hombre,8
Aguascalientes,2021,Julio,7,Hombre,5
Aguascalientes,2021,Julio,7,Mujer,2
Aguascalientes,2021,Agosto,8,Hombre,13
Aguascalientes,2021,Septiembre,9,Hombre,4
Aguascalientes,2021,Septiembre,9,Mujer,1
Aguascalientes,2021,Octubre,10,Hombre,9
Aguascalientes,2021,Octubre,10,Mujer,1
Aguascalientes,2021,Noviembre,11,Hombre,6
Aguascalientes,2021,Noviembre,11,Mujer,2
Aguascalientes,2021,Diciembre,12,Hombre,8
Aguascalientes,2021,Diciembre,12,Mujer,1
Aguascalientes,2022,Enero,1,Hombre,6
Aguascalientes,2022,Enero,1,Mujer,1
Aguascalientes,2022,Febrero,2,Hombre,5
Aguascalientes,2022,Febrero,2,Mujer,2
Aguascalientes,2022,Marzo,3,Hombre,5
Aguascalientes,2022,Marzo,3,Mujer,1
Aguascalientes,2022,Abril,4,Hombre,2
Aguascalientes,2022,Mayo,5,Hombre,5
Aguascalientes,2022,Junio,6,Hombre,8
Aguascalientes,2022,Junio,6,Mujer,2
Aguascalientes,2022,Julio,7,Hombre,8
Aguascalientes,2022,Agosto,8,Hombre,8
Aguascalientes,2022,Septiembre,9,Hombre,6
Aguascalientes,2022,Septiembre,9,Mujer,2
Aguascalientes,2022,Octubre,10,Hombre,7
Aguascalientes,2022,Octubre,10,Mujer,3
Aguascalientes,2022,Noviembre,11,Hombre,6
Aguascalientes,2022,Noviembre,11,Mujer,1
Aguascalientes,2022,Diciembre,12,Hombre,7
Aguascalientes,2022,Diciembre,12,Mujer,1
Aguascalientes,2023,Enero,1,Hombre,3
Aguascalientes,2023,Enero,1,Mujer,3
Aguascalientes,2023,Febrero,2,Hombre,10
Aguascalientes,2023,Marzo,3,Hombre,14
Aguascalientes,2023,Marzo,3,Mujer,3
Aguascalientes,2023,Abril,4,Hombre,8
Aguascalientes,2023,Abril,4,Mujer,1
Aguascalientes,2023,Mayo,5,Hombre,3
Aguascalientes,2023,Junio,6,Hombre,12
Aguascalientes,2023,Junio,6,Mujer,1
Aguascalientes,2023,Julio,7,Hombre,5
Aguascalientes,2023,Agosto,8,Hombre,10
Aguascalientes,2023,Agosto,8,Mujer,1
Aguascalientes,2023,Septiembre,9,Hombre,6
Aguascalientes,2023,Octubre,10,Hombre,4
Aguascalientes,2023,Noviembre,11,Hombre,12
Aguascalientes,2023,Noviembre,11,Mujer,4
Aguascalientes,2023,Diciembre,12,Hombre,8
Aguascalientes,2023,Diciembre,12,Mujer,1
Aguascalientes,2024,Enero,1,Hombre,7
Aguascalientes,2024,Enero,1,Mujer,2
Aguascalientes,2024,Febrero,2,Hombre,4
Aguascalientes,2024,Febrero,2,Mujer,1
Aguascalientes,2024,Marzo,3,Hombre,16
Aguascalientes,2024,Abril,4,Hombre,8
Aguascalientes,2024,Abril,4,Mujer,1
Aguascalientes,2024,Mayo,5,Hombre,16
Aguascalientes,2024,Mayo,5,Mujer,3
Aguascalientes,2024,Junio,6,Hombre,14
Aguascalientes,2024,Junio,6,Mujer,2
Aguascalientes,2024,Julio,7,Hombre,17
Aguascalientes,2024,Julio,7,Mujer,2
Aguascalientes,2024,Agosto,8,Hombre,12
Aguascalientes,2024,Agosto,8,Mujer,2
Aguascalientes,2024,Septiembre,9,Hombre,12
Aguascalientes,2024,Septiembre,9,Mujer,1
Aguascalientes,2024,Octubre,10,Hombre,9
Aguascalientes,2024,Noviembre,11,Hombre,3
Aguascalientes,2024,Diciembre,12,Hombre,8
Aguascalientes,2024,Diciembre,12,Mujer,1
Baja California,1990,Enero,1,Hombre,28
Baja California,1990,Enero,1,Mujer,3
