estado,anio,mes,mes_num,homicidios_total
Baja California,2018,Enero,1,185
Baja California,2018,Febrero,2,211
Baja California,2018,Marzo,3,194
Baja California,2018,Abril,4,244
Baja California,2018,Mayo,5,247
Baja California,2018,Junio,6,212
Baja California,2018,Julio,7,232
Baja California,2018,Agosto,8,241
Baja California,2018,Septiembre,9,226
Baja California,2018,Octubre,10,253
Baja California,2018,Noviembre,11,250
Baja California,2018,Diciembre,12,227
Baja California,2019,Enero,1,228
Baja California,2019,Febrero,2,158
Baja California,2019,Marzo,3,178
Baja California,2019,Abril,4,172
Baja California,2019,Mayo,5,196
Baja California,2019,Junio,6,224
Baja California,2019,Julio,7,237
Baja California,2019,Agosto,8,234
Baja California,2019,Septiembre,9,200
Baja California,2019,Octubre,10,203
